weekstart,country,totbookings,clicks_email,clicks_ppc_brand,clicks_ppc_non_brand,clicks_remarketing,clicks_shop_GoogleHA,clicks_shop_TripAdvisor,clicks_shop_Trivago,clicks_shop_other,cost_email,cost_ppc_brand,cost_ppc_non_brand,cost_remarketing,cost_shop_GoogleHA,cost_shop_TripAdvisor,cost_shop_Trivago,cost_shop_other,display_imps,display_net_spend_eur,olv_imps,olv_net_spend_eur,yt_imps,yt_cost,brandtv_grp,brandtv_net_spend_eur,drtv_grp,drtv_net_spend_eur,ooh_net_spend_eur,radio_net_spend_eur,print_net_spend_eur,cinema_net_spend_eur,meta_comp_grp,ota_comp_grp,value (currency rate),fb_imps,fb_cost,NewYearsDay,MartinL.KingsDay(US-CA),StValentinesDay,PresidentsDay(US-CA),EasterSunday,EasterMonday,LabourDay(DE-NW),MayDay(GB-EN),ChristsAscensionDay(DE-NW),WhitMonday(DE-NW),Remembrance/MemorialDay(US-CA),BankHoliday(GB-EN),IndependenceDay(US-CA),LabourDay(US-CA),GermanUnityDay(DE-NW),ThanksgivingDay(US-CA),ChristmasDay,BoxingDay,sales_Direct,sales_EMK,sales_Interco,sales_ppc_brand,sales_ppc_nonbrand,sales_Retargeting,sales_shop_googleha,sales_shop_other,sales_shop_tripadvisor,sales_shop_trivago,sales_Strat Part,spend_performance,spend_awareness_dig,spend_awareness_off,spend_awareness_total,t,woy,sin_woy,cos_woy,year,adstock_perf,adstock_aware,f_perf,f_aware,f_brand,y
2016-12-19,us,511658.0,260241.0,151912.0855347406,1830229.1050575178,306506.7008066626,263116.84752538224,528661.302965082,592749.0035200119,604542.524128003,0.0,41887.445879108185,2897526.2698941706,118531.94393014228,689382.435480528,827512.4777077422,897172.1157317162,604408.3499037318,79855074.0,476232.81432135584,261.0,12.167000323534012,156955479.0,140592.9837584899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.05,99.0,0.94851716,22235997.0,107104.70262674251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,180216.0,15772.0,43431.0,21208.0,103431.0,4501.0,26334.0,21370.0,23144.0,37863.0,34388.0,6076421.0385271385,476244.98132167937,0.0,476244.98132167937,51.0,51,-0.12053668025532363,0.992708874098054,2016.0,15168742.859745862,848322.2499827116,16.53474754366065,13.65101703315655,13.65101703315655,13.145413666509713
2016-12-26,us,673550.0,326054.0,207827.92448153603,2868375.6099987254,432568.169687405,416205.4587178519,811954.2400261272,896765.8777685165,788178.9647671678,0.0,53380.47600854389,4280761.126829122,142918.1840488704,1025738.8235428331,1162365.6277559001,1289879.613732338,834423.4144749936,85604804.1,475061.83460249746,209.0,18.77700001001358,118748600.0,107170.7139543714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.5,155.1,0.94851716,26280744.0,145326.81905892724,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,221022.0,20453.0,53551.0,26646.0,149519.0,6073.0,39676.0,27916.0,30938.0,53942.0,43815.0,8789467.2663926,475080.6116025075,0.0,475080.6116025075,52.0,52,-2.4492935982947064e-16,1.0,2016.0,17785107.570898384,983634.2436208782,16.693872067979086,13.799010419935685,13.799010419935685,13.420318995796386
2017-01-02,us,697256.0,503504.0,204682.63307534152,2852295.0811558487,533567.706663932,436652.9298235227,1055744.0305461031,960485.1160621643,866347.9433763206,0.0,55624.27623005471,4399081.238855272,163809.03744159278,1043700.0766788337,1539798.2400169033,1392817.4169511795,882960.6156464644,0.0,0.0,3651971.0,56997.45361328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.54,79.22,0.94027343,2831.0,19.7638906235818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238152.0,22793.0,50240.0,28132.0,143306.0,7409.0,38391.0,27332.0,39950.0,53139.0,48413.0,9477790.9018203,56997.45361328125,0.0,56997.45361328125,53.0,1,0.12053668025532306,0.992708874098054,2017.0,20042809.827233505,646667.9524006066,16.813381085185302,13.379589777005268,13.379589777005268,13.45490934488
2017-01-09,us,694709.0,509988.0,205070.21346004857,2730286.296454464,514966.3509654128,386014.0657772789,890152.794167636,942145.9055404663,945020.9728832509,0.0,54221.97956435708,4157158.9094180437,163487.73720160231,1019834.822635353,1490970.8377041225,1466881.267943859,972556.2243012185,0.0,0.0,9745796.0,63483.89990234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.9,123.97,0.94027343,3023.0,11.027141368961043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238797.0,23415.0,49762.0,27971.0,135727.0,7146.0,37873.0,30642.0,41330.0,53399.0,48647.0,9325111.778768556,63483.89990234375,0.0,63483.89990234375,54.0,2,0.23931566428755777,0.970941817426052,2017.0,21243918.37778728,451386.8701626937,16.8715812654592,13.020082271411024,13.020082271411024,13.45124977128012
2017-01-16,us,675464.0,531534.0,198484.33719076173,2649015.7396887643,551138.3924716746,379344.0553786884,955087.6803596941,844956.5304450989,905691.7423775458,0.0,54835.38002359253,3974041.5245572925,170329.27521647682,973216.9172855674,1549192.0363884214,1320590.7450766563,998685.7212315022,0.0,0.0,9838922.0,77896.0869140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.83,147.88,0.94027343,1654.0,3.521893236884522,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233409.0,23653.0,46772.0,27514.0,129526.0,7268.0,37118.0,32093.0,42330.0,47914.0,47878.0,9040891.599779509,77896.0869140625,0.0,77896.0869140625,55.0,3,0.3546048870425356,0.9350162426854148,2017.0,21697127.77057181,346801.7423217538,16.89269049503613,12.756511431359433,12.756511431359433,13.423156621568523
2017-01-23,us,671714.0,535155.0,197622.09780570975,2637831.5723662423,584441.6774648142,368800.9330880013,922242.9152866616,767734.6222391129,832690.8153305848,0.0,68526.07886329759,4002038.80930929,196635.79118980534,943630.8826891319,1461910.9684676765,1175985.9377584457,904032.7365946294,0.0,0.0,109314.0,5106.335980333388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.14,103.76,0.94027343,1052.0,1.9365069511044208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235292.0,23952.0,46223.0,27852.0,130451.0,8195.0,37452.0,27802.0,43092.0,44106.0,47324.0,8752761.204872277,5106.335980333388,0.0,5106.335980333388,56.0,4,0.46472317204376856,0.8854560256532099,2017.0,21661610.473469354,208921.02007848147,16.89105219536014,12.249716351651879,12.249716351651879,13.417589422403559
2017-01-30,us,680988.0,535208.0,199926.39573858108,2638205.093408475,617704.008655906,360259.53356811375,987981.2005392048,611202.6486911774,796645.4359356717,0.0,63932.903111367385,4181693.5409928854,223963.71396411725,900025.6707970323,1527462.9650333954,965069.7217833996,797127.6891103908,0.0,0.0,60150.0,844.0929523929954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.18,241.79,0.94027343,1030.0,2.648084256639531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241868.0,24038.0,46767.0,28057.0,137959.0,8678.0,37798.0,24344.0,45908.0,36893.0,48677.0,8659276.204792589,844.0929523929954,0.0,844.0929523929954,57.0,5,0.5680647467311558,0.8229838658936564,2017.0,21552304.088321768,121949.63169445281,16.885993333449022,11.711371583576963,11.711371583576963,13.4313014322846
2017-02-06,us,718758.0,531684.0,220822.6481019911,2707031.282141823,666920.9911540188,401560.1154117584,1124414.5002561035,622737.4924688339,889817.5356260539,0.0,64893.56143090929,4303257.729083939,225894.7805737281,1047731.2258319855,1661674.2611796004,977834.7653512955,834299.254986079,0.0,0.0,114256.0,1498.0067706108093,0.0,0.0,0.0,0.0,49.8,491671.34670545,0.0,0.0,0.0,0.0,147.27,207.96,0.93924962,1454.0,4.352497391374071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252705.0,24751.0,52705.0,29723.0,146293.0,8720.0,41884.0,25867.0,48031.0,35651.0,52427.0,9115585.578437537,1498.0067706108093,491671.34670545,493169.3534760608,58.0,6,0.6631226582407952,0.7485107481711011,2017.0,21940687.71243836,560496.4529182197,16.903853403040575,13.236579977181117,13.236579977181117,13.485281392754432
2017-02-13,us,739006.0,540373.0,230870.88749690165,2824386.1682122457,582242.2435989736,436205.22887039185,1061302.3052193923,582358.4786520004,946980.0855157316,0.0,60431.299694668254,4468938.468091893,209392.7015426616,1150796.146112442,1513146.1270506852,892358.4669508934,970673.8229472474,0.0,0.0,14665.0,1437.606316536665,0.0,0.0,83.36,1698745.459874476,46.78,502341.457201055,0.0,0.0,0.0,0.0,157.78,136.35,0.93924962,2706.0,24.976847212335002,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261322.0,24991.0,52051.0,31090.0,152540.0,8470.0,46724.0,28861.0,46839.0,32981.0,53069.0,9265737.03239049,1437.606316536665,2201086.917075531,2202524.5233920678,59.0,7,0.7485107481711011,0.6631226582407953,2017.0,22328089.119863037,2530823.308237524,16.921356090371763,14.744055621170618,14.744055621170618,13.513062672145288
2017-02-20,us,792890.0,595624.0,247683.1554587504,3004341.430034977,725631.044412469,462941.03743076324,1086878.8319048437,563318.3899021149,931876.3338067688,0.0,64217.91278651723,4929763.01487276,281120.3853545722,1215145.373497963,1566260.7603819072,805841.0219516754,1012629.2638905868,0.0,0.0,128744.0,98.65046977996826,0.0,0.0,105.01,2068715.2746802229,50.31,535772.87336293,0.0,0.0,0.0,0.0,156.17,170.81,0.93924962,2303.0,15.033065867948002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284284.0,27790.0,56797.0,33478.0,168572.0,10375.0,51647.0,30335.0,48969.0,27742.0,52867.0,9874977.73273598,98.65046977996826,2604488.148043153,2604586.798512933,60.0,8,0.8229838658936565,0.5680647467311558,2017.0,23124201.90613271,4115101.253490074,16.956390371844705,15.230174240749358,15.230174240749358,13.583441038458272
2017-02-27,us,855471.0,600939.0,258017.41656516836,3028564.0745549495,850696.007371045,464990.5078496933,1164772.994289573,1054305.77145195,854324.7003507327,0.0,73422.56178117146,5227316.21574459,381063.7338953102,1266837.9215574265,1788181.988681958,1516618.9135270119,986647.4707518129,0.0,0.0,1347710.0,5680.2570514678955,0.0,0.0,112.34,1967383.9537266751,55.85,562131.598998762,0.0,0.0,0.0,0.0,194.44,144.4,0.93924962,1761.0,4.617567347182524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295276.0,29482.0,63376.0,35755.0,176547.0,12652.0,51079.0,28569.0,54824.0,53014.0,54896.0,11240088.805939281,5680.2570514678955,2529515.552725437,2535195.809776905,61.0,9,0.8854560256532099,0.4647231720437686,2017.0,24955419.457185388,5003299.223520468,17.03260160935883,15.425608297368766,15.425608297368766,13.659408642380754
2017-03-06,us,907018.0,652182.0,269102.20554970414,3271001.2587686153,877904.1077188428,515404.2652988434,1149000.888146758,1166152.0669202805,886495.1555770648,0.0,71485.64656741417,5642095.851227829,416044.2064173091,1510063.7584791183,1743793.1897879103,1591934.9223246574,1091960.6971967688,588990.0,7520.080011248589,9782091.0,98965.1689453125,0.0,0.0,71.15,1594526.4438355998,41.78,414437.19050976,0.0,0.0,0.0,0.0,120.21,209.72,0.9353168,21386.0,108.38109987069375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308633.0,30978.0,66738.0,36793.0,187689.0,13652.0,57052.0,30911.0,56286.0,60046.0,58240.0,12067378.272001008,106485.24895656109,2008963.6343453599,2115448.883301921,62.0,10,0.9350162426854148,0.35460488704253557,2017.0,26884003.876858156,5116362.131674018,17.107042053475716,15.447954418769838,15.447954418769838,13.71791867705868
2017-03-13,us,904135.0,639594.0,263079.7693259006,3164969.1798515525,906526.15683073,509733.7437763214,1108217.00979185,1212940.5273046494,803788.57973867,0.0,63871.83352828165,5388532.900343324,396333.5452060864,1462688.141968727,1723587.2371380648,1644770.567764759,1057131.1065605404,642744.0,8276.559143066406,17922622.0,159529.072265625,0.0,0.0,70.97,2150605.06428944,35.56,331537.35010703997,0.0,0.0,0.0,0.0,69.38,254.06,0.9353168,44342.0,300.53989435352435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306131.0,33171.0,65711.0,35336.0,183558.0,13388.0,56991.0,29672.0,54760.0,64054.0,61362.0,11736915.332509782,167805.6314086914,2482142.4143964797,2649948.045805171,63.0,11,0.970941817426052,0.23931566428755782,2017.0,27715465.396772124,5718456.9696704,17.13750116901024,15.55920974128926,15.55920974128926,13.714735070536856
2017-03-20,us,873695.0,643129.0,252731.39411817637,3051572.371123492,995022.3532020051,491852.13074254995,1005240.3673333887,1225960.1272068024,793472.4711197942,0.0,60424.809100150545,5203989.438594143,390248.82747748675,1376045.1143460274,1537517.7993628827,1687573.1825335026,968529.1917185244,629903.0,8071.9327392578125,28826824.0,160350.783203125,0.0,0.0,74.05,2072523.8357427998,35.48,326037.406728,0.0,0.0,0.0,0.0,93.21,213.85,0.9353168,65090.0,297.84025224807567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299416.0,34619.0,62581.0,34307.0,175240.0,13468.0,53472.0,27634.0,48572.0,64142.0,60244.0,11224328.363132717,168422.7159423828,2398561.2424708,2566983.9584131828,64.0,12,0.992708874098054,0.120536680255323,2017.0,27706594.82355717,5997972.373379283,17.13718105918627,15.606932199031368,15.606932199031368,13.680487768045191
2017-03-27,us,901684.0,575592.0,266589.4133202283,3236423.583348023,1047253.3571265771,489832.0137748718,1027828.6186476691,1306390.6252212524,950332.1958066426,0.0,66566.7423207718,5449212.455522888,333476.0414354671,1343311.0457344055,1543340.3225100366,1834163.7334372997,1227985.4374541892,446960.0,5748.592498779297,25889766.0,154194.36185242236,0.0,0.0,2.43,0.0,37.55,355691.625872,0.0,0.0,0.0,0.0,167.69,139.77,0.9353168,31844.0,218.85818651348256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300562.0,33955.0,65753.0,36050.0,185291.0,13166.0,54819.0,26014.0,49745.0,73140.0,63189.0,11798055.778415058,159942.95435120165,355691.625872,515634.58022320166,65.0,13,1.0,6.123233995736766e-17,2017.0,28276570.08392947,4114403.8267304883,17.157544142841186,15.23000474657323,15.23000474657323,13.712020514105093
2017-04-03,us,919065.0,509481.0,300474.98082389205,3297390.2664349475,1012700.1527230726,497345.2856373787,963879.6646717926,1258264.8859128952,697050.6733889711,0.0,70995.22457834845,5610008.478119412,301055.8439121158,1404529.5535492897,1534074.6948090964,2025477.3309412003,757388.3896951344,0.0,0.0,11746872.0,0.47592000290751457,0.0,0.0,76.3,1306448.1635949835,33.925,314467.52806591854,0.0,0.0,0.0,0.0,122.19,167.93,0.93293473,18321.0,122.1056134643982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300329.0,32397.0,71363.0,40522.0,192878.0,13620.0,57006.0,22377.0,50275.0,78045.0,60253.0,11703529.515604597,0.47592000290751457,1620915.691660902,1620916.167580905,66.0,14,0.992708874098054,-0.12053668025532288,2017.0,28516364.732093148,4081275.112251117,17.16598871664215,15.221920270087756,15.221920270087756,13.731113215951694
2017-04-10,us,842582.0,606491.0,282947.8366364516,2960947.4661185374,861608.8800899233,417738.73168325424,837123.0930182883,1135672.4208555222,609622.2053416735,0.0,61166.5936761223,5081580.47869065,252212.0064718634,1213850.3501377106,1415559.264158524,1862638.2342797518,697920.4023884293,0.0,0.0,0.0,0.0,0.0,0.0,71.9,1367165.375046107,30.815,291335.084908413,0.0,0.0,0.0,0.0,80.3,183.39,0.93293473,22553.0,132.62712857512773,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283152.0,31685.0,61176.0,37878.0,171133.0,11111.0,49322.0,20113.0,45711.0,73064.0,58237.0,10584927.329803051,0.0,1658500.45995452,1658500.45995452,67.0,15,0.9709418174260521,-0.2393156642875575,2017.0,27539117.367344983,4070271.573006373,17.131118037947168,15.21922052643094,15.21922052643094,13.644227452676715
